time,cooler,fan
1531242895.7879832,1.0,1.0
1531242956.1007915,1.0,1.0
1531243016.822748,1.0,1.0
1531243077.7521505,1.0,1.0
1531243138.4738774,1.0,1.0
1531243198.8891852,1.0,1.0
1531243259.6120672,1.0,1.0
1531243320.3372955,1.0,1.0
1531243381.365226,1.0,1.0
1531243442.0881555,1.0,1.0
1531243502.8142881,1.0,1.0
1531243563.5329607,1.0,1.0
1531243623.7555828,1.0,1.0
1531243684.4656413,1.0,1.0
1531243745.5585153,1.0,1.0
1531243806.510652,1.0,1.0
1531243867.3984954,1.0,1.0
1531243927.9717927,1.0,1.0
1531243988.8457775,1.0,1.0
1531244049.7274306,1.0,1.0
1531244110.860863,1.0,1.0
1531244172.1567562,1.0,1.0
1531244232.6094675,1.0,1.0
1531244293.7503152,1.0,1.0
1531244358.610385,1.0,1.0
1531244419.6664119,1.0,1.0
1531244480.4995673,1.0,1.0
1531244541.2458243,1.0,1.0
1531244601.9673386,1.0,1.0
1531244662.7830346,1.0,1.0
1531244723.5436418,1.0,1.0
1531244784.543009,1.0,1.0
1531244845.1634176,1.0,1.0
1531244905.9654698,1.0,1.0
1531244967.2845776,1.0,1.0
1531245027.9446974,1.0,1.0
1531245088.6709926,1.0,1.0
1531245149.7549314,1.0,1.0
1531245210.6769845,1.0,1.0
1531245272.4773226,1.0,1.0
1531245333.2974017,1.0,1.0
1531245394.026421,1.0,1.0
1531245455.1600766,1.0,1.0
1531245515.3453255,1.0,1.0
1531245576.2491527,1.0,1.0
1531245636.9485323,1.0,1.0
1531245699.8489444,1.0,1.0
1531245760.0742855,1.0,1.0
1531245820.9447305,1.0,1.0
1531245881.543802,1.0,1.0
1531245942.2680533,1.0,1.0
1531246003.101244,1.0,1.0
1531246480.1703892,0.0,1.0
1531246541.09842,0.0,1.0
1531246601.8206348,0.0,1.0
1531246662.1333125,0.0,1.0
1531246722.8561275,0.0,1.0
1531246783.580971,0.0,1.0
1531246844.3019118,0.0,1.0
1531246905.0272965,0.0,1.0
1531246965.749225,0.0,1.0
1531247026.5827074,0.0,1.0
1531247087.7385516,0.0,1.0
1531247148.638975,0.0,1.0
1531247209.3539972,0.0,1.0
1531247270.0786939,0.0,1.0
1531247330.801646,0.0,1.0
1531247391.5261981,0.0,1.0
1531247452.2506895,0.0,1.0
1531247512.9702673,0.0,1.0
1531247573.693238,0.0,1.0
1531247634.1075625,0.0,1.0
1531247694.8304558,0.0,1.0
1531247755.5534554,0.0,1.0
1531247816.2769322,0.0,1.0
1531247876.9998932,0.0,1.0
1531247937.7234275,0.0,1.0
1531247998.4445145,0.0,1.0
1531248058.8601072,0.0,1.0
1531248119.5845563,0.0,1.0
1531248180.303925,0.0,1.0
1531248241.0348706,0.0,1.0
1531248301.7505064,0.0,1.0
1531248362.47498,0.0,1.0
1531248423.1962607,0.0,1.0
1531248483.923066,0.0,1.0
1531248550.4790382,0.0,1.0
1531248611.2099838,0.0,1.0
1531248672.133424,0.0,1.0
1531248732.852523,0.0,1.0
1531248793.57984,0.0,1.0
1531248854.7100651,0.0,1.0
1531248915.4302993,0.0,1.0
1531248976.159873,0.0,1.0
1531249037.2913616,0.0,1.0
1531249098.421419,0.0,1.0
1531249159.140862,0.0,1.0
1531249219.8649044,0.0,1.0
1531249280.5921226,0.0,1.0
1531249341.3106134,0.0,1.0
1531249402.0355759,0.0,1.0
1531249462.7525055,0.0,1.0
1531249523.4798186,0.0,1.0
1531249584.2021568,0.0,1.0
1531249644.930926,0.0,1.0
1531249706.0545516,0.0,1.0
1531249766.7800472,0.0,1.0
1531249827.917073,0.0,1.0
1531249888.9401474,0.0,1.0
1531249949.6668124,0.0,1.0
1531250010.3884716,0.0,1.0
1531250071.109463,0.0,1.0
1531250132.139399,0.0,1.0
1531250192.8657827,0.0,1.0
1531250253.5856779,0.0,1.0
1531250314.3099911,0.0,1.0
1531250375.0322993,0.0,1.0
1531250435.7531164,0.0,1.0
1531250496.4753358,0.0,1.0
1531250557.1963112,0.0,1.0
1531250617.9232945,0.0,1.0
1531250678.6435401,0.0,1.0
1531250739.3685007,0.0,1.0
1531250800.0889275,0.0,1.0
1531250860.8114762,0.0,1.0
1531250921.840682,0.0,1.0
1531250982.5619648,0.0,1.0
1531251043.288175,0.0,1.0
1531251104.014389,0.0,1.0
1531251164.731334,0.0,1.0
1531251225.4576304,0.0,1.0
1531251286.7414744,0.0,1.0
1531251347.6160052,0.0,1.0
1531251408.3419852,0.0,1.0
1531251469.0798554,0.0,1.0
1531251529.3000991,0.0,1.0
1531251590.2037356,0.0,1.0
1531251651.1320784,0.0,1.0
1531251712.1642158,0.0,1.0
1531251773.188997,0.0,1.0
1531251842.3234253,0.0,1.0
1531251903.2327626,0.0,1.0
1531251964.2629325,0.0,1.0
1531252025.2979765,0.0,1.0
1531252086.326041,0.0,1.0
1531252147.3586855,0.0,1.0
1531252208.3875122,0.0,1.0
1531252269.3174207,0.0,1.0
